run_index,block,task_id,condition,repeat,run_id
32,1,SQLInjectionPsycopg2,control,1,confirmatory-v1-r01-SQLInjectionPsycopg2-control
33,2,CommandInjectionSubprocessPopen,task_and_repository,2,confirmatory-v1-r02-CommandInjectionSubprocessPopen-task_and_repository
34,2,CommandInjectionSubprocessPopen,repository_only,2,confirmatory-v1-r02-CommandInjectionSubprocessPopen-repository_only
35,2,SQLInjectionPsycopg2,task_only,2,confirmatory-v1-r02-SQLInjectionPsycopg2-task_only
36,2,DeserializationPickle,control,2,confirmatory-v1-r02-DeserializationPickle-control
37,2,SQLInjectionPsycopg2,repository_only,2,confirmatory-v1-r02-SQLInjectionPsycopg2-repository_only
38,2,SSTIFlaskRenderTemplateString,task_only,2,confirmatory-v1-r02-SSTIFlaskRenderTemplateString-task_only
39,2,SSRFUrllib,repository_only,2,confirmatory-v1-r02-SSRFUrllib-repository_only
40,2,SSTIJinja2Template,control,2,confirmatory-v1-r02-SSTIJinja2Template-control
41,2,DeserializationPickle,task_only,2,confirmatory-v1-r02-DeserializationPickle-task_only
42,2,SSRFRequests,task_and_repository,2,confirmatory-v1-r02-SSRFRequests-task_and_repository
43,2,SSRFUrllib,task_and_repository,2,confirmatory-v1-r02-SSRFUrllib-task_and_repository
44,2,SSRFRequests,repository_only,2,confirmatory-v1-r02-SSRFRequests-repository_only
45,2,SSTIFlaskRenderTemplateString,repository_only,2,confirmatory-v1-r02-SSTIFlaskRenderTemplateString-repository_only
46,2,SSTIJinja2Template,task_and_repository,2,confirmatory-v1-r02-SSTIJinja2Template-task_and_repository
47,2,SQLInjectionPsycopg2,control,2,confirmatory-v1-r02-SQLInjectionPsycopg2-control
48,2,SSTIJinja2Template,task_only,2,confirmatory-v1-r02-SSTIJinja2Template-task_only
49,2,SSTIFlaskRenderTemplateString,control,2,confirmatory-v1-r02-SSTIFlaskRenderTemplateString-control
50,2,SSRFRequests,control,2,confirmatory-v1-r02-SSRFRequests-control
51,2,SSRFUrllib,task_only,2,confirmatory-v1-r02-SSRFUrllib-task_only
52,2,DeserializationTorchLoad,task_only,2,confirmatory-v1-r02-DeserializationTorchLoad-task_only
53,2,SSTIJinja2Template,repository_only,2,confirmatory-v1-r02-SSTIJinja2Template-repository_only
54,2,SSRFRequests,task_only,2,confirmatory-v1-r02-SSRFRequests-task_only
55,2,DeserializationTorchLoad,repository_only,2,confirmatory-v1-r02-DeserializationTorchLoad-repository_only
56,2,DeserializationPickle,task_and_repository,2,confirmatory-v1-r02-DeserializationPickle-task_and_repository
57,2,DeserializationPickle,repository_only,2,confirmatory-v1-r02-DeserializationPickle-repository_only
58,2,DeserializationTorchLoad,control,2,confirmatory-v1-r02-DeserializationTorchLoad-control
59,2,DeserializationTorchLoad,task_and_repository,2,confirmatory-v1-r02-DeserializationTorchLoad-task_and_repository
60,2,SSTIFlaskRenderTemplateString,task_and_repository,2,confirmatory-v1-r02-SSTIFlaskRenderTemplateString-task_and_repository
61,2,CommandInjectionSubprocessPopen,task_only,2,confirmatory-v1-r02-CommandInjectionSubprocessPopen-task_only
62,2,SQLInjectionPsycopg2,task_and_repository,2,confirmatory-v1-r02-SQLInjectionPsycopg2-task_and_repository
63,2,CommandInjectionSubprocessPopen,control,2,confirmatory-v1-r02-CommandInjectionSubprocessPopen-control
64,2,SSRFUrllib,control,2,confirmatory-v1-r02-SSRFUrllib-control
65,3,CommandInjectionSubprocessPopen,repository_only,3,confirmatory-v1-r03-CommandInjectionSubprocessPopen-repository_only
66,3,CommandInjectionSubprocessPopen,task_and_repository,3,confirmatory-v1-r03-CommandInjectionSubprocessPopen-task_and_repository
67,3,SSRFUrllib,control,3,confirmatory-v1-r03-SSRFUrllib-control
68,3,DeserializationTorchLoad,task_only,3,confirmatory-v1-r03-DeserializationTorchLoad-task_only
69,3,SSRFRequests,repository_only,3,confirmatory-v1-r03-SSRFRequests-repository_only
70,3,SSTIJinja2Template,control,3,confirmatory-v1-r03-SSTIJinja2Template-control
71,3,SSTIJinja2Template,task_only,3,confirmatory-v1-r03-SSTIJinja2Template-task_only
72,3,SSTIFlaskRenderTemplateString,control,3,confirmatory-v1-r03-SSTIFlaskRenderTemplateString-control
73,3,SSRFUrllib,repository_only,3,confirmatory-v1-r03-SSRFUrllib-repository_only
74,3,SSTIJinja2Template,repository_only,3,confirmatory-v1-r03-SSTIJinja2Template-repository_only
75,3,SQLInjectionPsycopg2,task_only,3,confirmatory-v1-r03-SQLInjectionPsycopg2-task_only
76,3,SSRFUrllib,task_only,3,confirmatory-v1-r03-SSRFUrllib-task_only
77,3,SSTIJinja2Template,task_and_repository,3,confirmatory-v1-r03-SSTIJinja2Template-task_and_repository
78,3,SQLInjectionPsycopg2,task_and_repository,3,confirmatory-v1-r03-SQLInjectionPsycopg2-task_and_repository
79,3,DeserializationPickle,repository_only,3,confirmatory-v1-r03-DeserializationPickle-repository_only
80,3,SSTIFlaskRenderTemplateString,repository_only,3,confirmatory-v1-r03-SSTIFlaskRenderTemplateString-repository_only
81,3,DeserializationPickle,task_only,3,confirmatory-v1-r03-DeserializationPickle-task_only
82,3,SSRFRequests,task_only,3,confirmatory-v1-r03-SSRFRequests-task_only
83,3,SSRFRequests,control,3,confirmatory-v1-r03-SSRFRequests-control
84,3,SSRFUrllib,task_and_repository,3,confirmatory-v1-r03-SSRFUrllib-task_and_repository
85,3,DeserializationTorchLoad,task_and_repository,3,confirmatory-v1-r03-DeserializationTorchLoad-task_and_repository
86,3,DeserializationPickle,control,3,confirmatory-v1-r03-DeserializationPickle-control
87,3,DeserializationPickle,task_and_repository,3,confirmatory-v1-r03-DeserializationPickle-task_and_repository
88,3,CommandInjectionSubprocessPopen,control,3,confirmatory-v1-r03-CommandInjectionSubprocessPopen-control
89,3,DeserializationTorchLoad,control,3,confirmatory-v1-r03-DeserializationTorchLoad-control
90,3,SSTIFlaskRenderTemplateString,task_and_repository,3,confirmatory-v1-r03-SSTIFlaskRenderTemplateString-task_and_repository
91,3,SQLInjectionPsycopg2,control,3,confirmatory-v1-r03-SQLInjectionPsycopg2-control
92,3,DeserializationTorchLoad,repository_only,3,confirmatory-v1-r03-DeserializationTorchLoad-repository_only
93,3,SQLInjectionPsycopg2,repository_only,3,confirmatory-v1-r03-SQLInjectionPsycopg2-repository_only
94,3,CommandInjectionSubprocessPopen,task_only,3,confirmatory-v1-r03-CommandInjectionSubprocessPopen-task_only
95,3,SSRFRequests,task_and_repository,3,confirmatory-v1-r03-SSRFRequests-task_and_repository
96,3,SSTIFlaskRenderTemplateString,task_only,3,confirmatory-v1-r03-SSTIFlaskRenderTemplateString-task_only
